location,price,precio_estimado,diferencia_pct,sobrevaluado,subvaluado,m2,recamaras,banos,Lujo,Amueblado,colonia
"Cumbres Oro Sector Regency, Monterrey",19000,18629.543905215945,1.9885408717941473,False,False,96.0,2.0,2.0,0,1,Cumbres Oro Sector Regency
"Centro, Monterrey",25000,24762.292608321804,0.9599571228647457,False,False,100.0,2.0,2.0,1,0,Centro
"Centro, Monterrey",12500,12126.5190067214,3.0798697719567247,False,False,30.0,1.0,1.0,1,0,Centro
"Ladrillera, Monterrey",24500,23829.819175127588,2.8123621918705712,False,False,61.0,1.0,1.0,1,0,Ladrillera
"Vista Hermosa, Monterrey",12000,12124.26095117837,-1.0248950569337032,False,False,36.0,1.0,1.0,0,0,Vista Hermosa
"Ladrillera, Monterrey",33200,32818.47261828736,1.1625385073528558,False,False,100.0,2.0,2.0,1,0,Ladrillera
"Centro, Monterrey",53000,51882.51432471146,2.1538772548582603,False,False,280.0,1.0,1.0,0,0,Centro
"Mitras Centro, Monterrey",18000,18207.526217874325,-1.1397826118223386,False,False,160.0,3.0,2.0,0,1,Mitras Centro
"Leones, Monterrey",15000,15117.306376788001,-0.7759740648513965,False,False,30.0,1.0,1.0,0,0,Leones
"Centro, Monterrey",29000,29361.312817888032,-1.2305744641905347,False,False,113.0,3.0,2.0,1,0,Centro
"Regina, Monterrey",18000,18622.38770188023,-3.3421476979420337,False,False,1.0,2.0,2.0,1,1,Regina
"Satélite Acueducto 7 Sector, Monterrey",28500,29502.221582321414,-3.3971054672098795,False,False,100.0,2.0,2.0,1,1,Satélite Acueducto 7 Sector
"Monterrey Centro, Monterrey",16500,17094.41672335267,-3.477256539210485,False,False,217.0,3.0,1.0,0,0,Monterrey Centro
"Contry, Monterrey",17000,16945.556279536722,0.321286121064219,False,False,65.0,2.0,2.0,0,1,Contry
"Centro, Monterrey",28000,28183.8327894963,-0.6522632704690619,False,False,76.0,2.0,2.0,0,1,Centro
"Santa María, Monterrey",35500,33007.18639177324,7.552335962958878,False,False,107.0,2.0,2.0,1,0,Santa María
"Centro, Monterrey",19600,19404.424850770345,1.0078894413708466,False,False,88.0,1.0,1.0,1,0,Centro
"Tecnológico, Monterrey",10400,10614.722388677856,-2.022873333992119,False,False,40.0,1.0,1.0,1,1,Tecnológico
"Eugenio Garza Sada, Monterrey",30000,29601.427818242915,1.346462691611959,False,False,,,,1,0,Eugenio Garza Sada
"Altavista Sur, Monterrey",14400,14890.134497828672,-3.2916727374097627,False,False,30.0,,,0,0,Altavista Sur
"Sierra Alta 1era. Etapa, Monterrey",18000,18348.460146961555,-1.8991247449135904,False,False,30.0,,,1,1,Sierra Alta 1era. Etapa
"Regina, Monterrey",19500,19171.68750327701,1.7124861682982804,False,False,1.0,2.0,2.0,1,0,Regina
"Obispado, Monterrey",18000,18235.203915938808,-1.289834306339857,False,False,120.0,3.0,1.0,0,0,Obispado
"Monterrey, Nuevo León",25500,24401.45253921086,4.501975687815624,False,False,75.0,2.0,2.0,0,0,Monterrey
"Santa Lucía, Monterrey",35000,33516.52090878735,4.4261130063285,False,False,,,,1,1,Santa Lucía
"San Jerónimo, Monterrey",20000,17675.31018540391,13.152186808669397,False,False,50.0,1.0,1.0,0,1,San Jerónimo
"Obrera, Monterrey",35000,34071.22293007492,2.725986888792433,False,False,80.0,2.0,2.0,1,1,Obrera
"Centro, Monterrey",17400,18815.460563818517,-7.5228589755618245,False,False,80.0,2.0,1.0,0,1,Centro
"Vista Hermosa, Monterrey",18000,18024.440881341532,-0.1355985547758804,False,False,300.0,2.0,1.0,0,0,Vista Hermosa
"Mitras Norte, Monterrey",14500,14375.369994153574,0.8669690303422622,False,False,1.0,2.0,1.0,0,1,Mitras Norte
"Valle de los Cedros, Monterrey",7300,7896.414738499117,-7.552981425751186,False,False,,,,0,1,Valle de los Cedros
"Jardín de las Torres, Monterrey",29000,29027.502359144833,-0.09474586826161814,False,False,114.0,2.0,2.0,0,1,Jardín de las Torres
"Centrika 1 Sector , Monterrey",16500,16164.679991516925,2.0743992993306883,False,False,100.0,2.0,2.0,1,0,Centrika 1 Sector
"Tecnológico, Monterrey",17400,16421.439438543013,5.959042537770424,False,False,80.0,2.0,1.0,0,1,Tecnológico
"Ladrillera, Monterrey",25000,28997.91518996747,-13.786905588821933,False,False,65.0,,,0,1,Ladrillera
"Jardines Roma, Monterrey",13450,13371.64983608453,0.5859423846415323,False,False,1.0,1.0,1.0,0,1,Jardines Roma
"Tecnológico, Monterrey",25000,24759.854967259507,0.9698967665927032,False,False,56.0,1.0,1.0,0,1,Tecnológico
"Colonial La Silla, Monterrey",18000,17305.976275980658,4.010312466350671,False,False,,,,1,1,Colonial La Silla
"Buenos Aires, Monterrey",26000,26469.7349046086,-1.774611292109365,False,False,67.0,2.0,2.0,1,0,Buenos Aires
"Centro, Monterrey",26500,27351.872724913817,-3.1144950602884234,False,False,120.0,2.0,2.0,1,1,Centro
"Urdiales, Monterrey",8500,8804.870572498046,-3.462521907480475,False,False,110.0,1.0,1.0,0,0,Urdiales
"Tecnológico, Monterrey",11800,11458.048414096675,2.98437895831045,False,False,40.0,1.0,1.0,1,1,Tecnológico
"Las Brisas, Monterrey",8500,8594.120717167612,-1.0951756469931457,False,False,45.0,1.0,1.0,0,1,Las Brisas
"Dinastía , Monterrey",17000,17015.241996259167,-0.08957848652706561,False,False,1.0,1.0,1.0,0,0,Dinastía
"Ladrillera, Monterrey",45000,44836.55803422001,0.36452835129593675,False,False,184.0,2.0,2.0,1,0,Ladrillera
"Centro, Monterrey",30500,28407.5804193285,7.365708553086833,False,False,87.0,2.0,2.0,0,1,Centro
"Centro, Monterrey",34000,33224.291402323135,2.3347634063389693,False,False,160.0,2.0,2.0,1,0,Centro
"Altavista, Monterrey",20500,20684.06416668265,-0.8898839473682083,False,False,150.0,2.0,2.0,0,1,Altavista
"Centro, Monterrey",17500,18125.953852024235,-3.453356756473982,False,False,56.0,2.0,2.0,0,0,Centro
"Vista Hermosa, Monterrey",15000,15559.18179914766,-3.5939023424630996,False,False,45.0,1.0,1.0,0,0,Vista Hermosa
